event_id,user_id,event_type,product_id,event_timestamp
1,1,purchase,133,2024-01-15 03:05:00
2,1,add_to_cart,45,2024-01-15 03:11:00
3,1,add_to_cart,58,2024-01-15 03:34:00
4,1,visit,31,2024-01-15 03:44:00
5,1,checkout,23,2024-01-02 01:34:00
6,1,view,170,2024-01-02 01:39:00
7,1,view,138,2024-01-02 01:47:00
8,1,visit,160,2024-01-27 19:19:00
9,1,visit,107,2024-01-27 19:47:00
10,2,checkout,181,2024-02-13 08:13:00
11,2,visit,158,2024-02-13 08:22:00
12,2,view,39,2024-02-13 08:44:00
13,2,visit,159,2024-02-13 08:45:00
14,2,add_to_cart,82,2024-02-21 15:52:00
15,2,visit,100,2024-02-21 16:04:00
16,2,view,2,2024-02-21 16:23:00
17,2,view,77,2024-02-10 14:28:00
18,2,view,12,2024-02-10 14:56:00
19,2,purchase,39,2024-02-10 15:12:00
20,2,view,194,2024-01-16 13:01:00
21,2,view,13,2024-01-16 13:14:00
22,2,add_to_cart,46,2024-01-16 13:23:00
23,2,visit,155,2024-01-16 13:24:00
24,2,checkout,113,2024-01-16 13:43:00
25,2,add_to_cart,17,2024-02-13 01:40:00
26,2,checkout,104,2024-02-13 02:06:00
27,2,checkout,98,2024-02-13 02:18:00
28,2,checkout,188,2024-02-13 02:26:00
29,2,visit,192,2024-02-13 02:47:00
30,3,add_to_cart,88,2024-01-17 23:08:00
31,3,checkout,109,2024-01-17 23:29:00
32,3,add_to_cart,163,2024-01-20 15:02:00
33,3,view,70,2024-01-09 03:04:00
34,3,view,158,2024-01-09 03:30:00
35,3,visit,199,2024-01-09 03:48:00
36,3,checkout,74,2024-01-24 18:07:00
37,3,checkout,63,2024-01-24 18:33:00
38,3,visit,156,2024-01-24 18:43:00
39,3,checkout,60,2024-01-24 19:07:00
40,3,view,79,2024-01-24 19:35:00
41,3,purchase,37,2024-02-21 03:55:00
42,3,visit,22,2024-02-21 04:19:00
43,3,purchase,196,2024-02-21 04:41:00
44,3,checkout,148,2024-02-21 04:54:00
45,4,visit,96,2024-01-24 03:04:00
46,4,view,68,2024-01-24 03:26:00
47,4,view,192,2024-01-24 03:35:00
48,4,add_to_cart,17,2024-01-24 03:54:00
49,4,visit,12,2024-02-22 21:47:00
50,4,visit,150,2024-02-22 22:16:00
51,4,visit,145,2024-02-22 22:34:00
52,4,add_to_cart,138,2024-02-28 20:49:00
53,4,add_to_cart,118,2024-02-28 21:04:00
54,4,visit,193,2024-02-14 10:18:00
55,4,visit,22,2024-02-14 10:22:00
56,4,visit,120,2024-02-14 10:26:00
57,4,purchase,50,2024-02-14 10:34:00
58,4,view,14,2024-02-04 04:37:00
59,4,add_to_cart,192,2024-02-04 04:51:00
60,4,add_to_cart,175,2024-02-04 05:10:00
61,4,purchase,29,2024-02-04 05:34:00
62,5,checkout,164,2024-02-26 14:09:00
63,5,add_to_cart,180,2024-01-27 09:32:00
64,6,visit,125,2024-01-29 08:03:00
65,6,add_to_cart,7,2024-01-29 08:24:00
66,6,view,29,2024-01-29 08:36:00
67,6,purchase,139,2024-01-26 09:25:00
68,6,purchase,33,2024-01-26 09:52:00
69,6,add_to_cart,134,2024-01-06 22:37:00
70,6,add_to_cart,111,2024-01-06 22:38:00
71,6,purchase,79,2024-02-20 11:23:00
72,6,checkout,160,2024-02-20 11:30:00
73,7,checkout,179,2024-01-14 20:00:00
74,7,visit,58,2024-01-14 20:25:00
75,7,visit,26,2024-02-20 20:20:00
76,7,checkout,174,2024-01-09 18:26:00
77,7,visit,29,2024-01-09 18:31:00
78,7,checkout,4,2024-01-09 18:32:00
79,7,view,99,2024-02-20 08:07:00
80,7,visit,141,2024-02-20 08:31:00
81,7,visit,39,2024-02-20 08:34:00
82,7,add_to_cart,15,2024-02-20 08:50:00
83,7,view,119,2024-02-20 09:05:00
84,7,visit,29,2024-01-24 17:31:00
85,7,view,157,2024-01-24 17:59:00
86,7,purchase,75,2024-01-24 18:21:00
87,7,visit,116,2024-01-24 18:38:00
88,7,checkout,32,2024-01-24 18:48:00
89,8,view,130,2024-01-04 16:20:00
90,8,visit,175,2024-01-04 16:49:00
91,8,add_to_cart,84,2024-01-04 16:52:00
92,8,view,22,2024-01-04 17:03:00
93,9,add_to_cart,27,2024-01-05 04:18:00
94,9,add_to_cart,195,2024-01-05 04:31:00
95,9,add_to_cart,81,2024-01-05 04:51:00
96,9,add_to_cart,126,2024-01-19 15:29:00
97,9,visit,184,2024-01-19 15:54:00
98,9,add_to_cart,92,2024-01-19 16:12:00
99,9,checkout,21,2024-01-19 16:36:00
100,9,add_to_cart,47,2024-01-19 17:04:00
101,10,view,101,2024-01-29 07:47:00
102,10,view,187,2024-01-29 08:01:00
103,10,view,84,2024-01-29 08:12:00
104,10,visit,6,2024-01-29 08:34:00
105,10,visit,147,2024-01-24 05:12:00
106,10,checkout,185,2024-01-24 05:36:00
107,10,visit,197,2024-01-24 05:48:00
108,10,visit,131,2024-01-24 06:14:00
109,10,purchase,1,2024-02-05 02:02:00
110,10,view,58,2024-02-05 02:27:00
111,10,add_to_cart,124,2024-02-05 02:41:00
112,10,view,166,2024-02-05 03:09:00
113,10,checkout,15,2024-02-05 03:39:00
114,10,view,162,2024-01-04 09:49:00
115,10,visit,189,2024-01-04 10:17:00
116,10,view,163,2024-01-04 10:21:00
117,10,visit,64,2024-01-04 10:33:00
118,10,view,25,2024-01-04 11:01:00
119,11,visit,24,2024-01-08 09:30:00
120,11,view,12,2024-01-08 09:52:00
121,11,view,18,2024-01-08 10:13:00
122,11,add_to_cart,15,2024-01-08 10:31:00
123,11,add_to_cart,27,2024-01-08 10:32:00
124,11,visit,72,2024-02-29 22:27:00
125,11,visit,60,2024-02-29 22:57:00
126,11,add_to_cart,174,2024-02-29 23:08:00
127,11,view,145,2024-01-01 06:11:00
128,11,view,93,2024-01-01 06:16:00
129,12,view,53,2024-01-06 18:06:00
130,12,view,8,2024-01-06 18:12:00
131,13,add_to_cart,79,2024-02-16 11:04:00
132,13,checkout,27,2024-02-16 11:07:00
133,13,visit,174,2024-02-16 11:16:00
134,13,add_to_cart,50,2024-02-16 11:31:00
135,13,visit,199,2024-02-16 11:53:00
136,13,view,131,2024-02-01 20:43:00
137,13,visit,93,2024-02-01 20:47:00
138,13,view,192,2024-02-01 20:57:00
139,13,view,172,2024-02-01 21:19:00
140,13,add_to_cart,181,2024-02-07 16:36:00
141,13,visit,24,2024-02-07 16:46:00
142,13,view,60,2024-02-07 16:53:00
143,13,add_to_cart,122,2024-02-07 17:18:00
144,13,visit,131,2024-02-07 17:23:00
145,14,visit,148,2024-01-19 11:11:00
146,14,view,46,2024-01-28 05:59:00
147,14,add_to_cart,15,2024-01-28 06:16:00
148,14,visit,153,2024-02-23 22:48:00
149,14,checkout,199,2024-02-23 22:49:00
150,14,visit,17,2024-02-23 23:04:00
151,15,view,126,2024-02-25 10:41:00
152,15,view,84,2024-02-25 10:52:00
153,15,add_to_cart,9,2024-02-25 10:58:00
154,15,view,166,2024-02-25 11:24:00
155,15,view,176,2024-02-25 11:44:00
156,16,visit,188,2024-01-06 14:54:00
157,16,view,63,2024-01-26 17:53:00
158,16,view,117,2024-02-17 11:35:00
159,16,visit,130,2024-02-17 11:52:00
160,17,checkout,88,2024-02-03 17:24:00
161,17,view,72,2024-02-03 17:48:00
162,18,visit,139,2024-01-16 03:30:00
163,18,visit,64,2024-01-16 03:35:00
164,18,visit,72,2024-02-18 22:22:00
165,19,view,21,2024-01-30 19:14:00
166,19,purchase,18,2024-01-30 19:42:00
167,19,view,64,2024-01-30 20:03:00
168,19,add_to_cart,82,2024-01-30 20:14:00
169,19,add_to_cart,110,2024-01-30 20:19:00
170,19,add_to_cart,95,2024-01-05 16:00:00
171,19,checkout,166,2024-01-05 16:03:00
172,19,add_to_cart,32,2024-01-05 16:13:00
173,19,view,11,2024-01-05 16:28:00
174,19,checkout,45,2024-01-03 01:56:00
175,19,visit,33,2024-01-03 02:24:00
176,19,checkout,102,2024-01-03 02:27:00
177,19,view,169,2024-02-08 17:18:00
178,19,view,136,2024-02-08 17:33:00
179,19,checkout,11,2024-02-08 18:03:00
180,19,checkout,179,2024-02-08 18:29:00
181,20,view,88,2024-01-21 20:39:00
182,20,purchase,41,2024-01-21 21:06:00
183,20,view,145,2024-01-21 21:17:00
184,20,checkout,76,2024-01-21 21:40:00
185,20,visit,121,2024-02-02 22:03:00
186,20,add_to_cart,46,2024-02-02 22:18:00
187,21,view,160,2024-02-09 05:25:00
188,21,visit,80,2024-02-09 05:36:00
189,21,view,54,2024-02-09 05:58:00
190,21,visit,86,2024-01-04 21:32:00
191,21,visit,92,2024-01-04 21:42:00
192,21,add_to_cart,148,2024-01-04 21:51:00
193,21,checkout,161,2024-02-24 22:24:00
194,21,view,168,2024-02-24 22:45:00
195,21,add_to_cart,160,2024-02-24 23:08:00
196,21,visit,97,2024-02-24 23:30:00
197,21,view,2,2024-02-24 23:43:00
198,21,view,33,2024-02-08 02:53:00
199,21,add_to_cart,158,2024-02-08 02:58:00
200,21,view,161,2024-02-08 03:20:00
201,21,visit,77,2024-02-23 23:23:00
202,21,add_to_cart,116,2024-02-23 23:30:00
203,21,view,154,2024-02-23 23:41:00
204,21,visit,150,2024-02-24 00:06:00
205,21,view,103,2024-02-24 00:22:00
206,22,view,194,2024-01-09 05:17:00
207,22,checkout,166,2024-01-07 17:19:00
208,22,checkout,103,2024-01-07 17:24:00
209,22,visit,90,2024-01-07 17:44:00
210,22,view,174,2024-01-07 17:57:00
211,22,add_to_cart,122,2024-01-07 18:02:00
212,23,checkout,143,2024-02-23 23:38:00
213,23,visit,106,2024-02-23 23:46:00
214,23,view,119,2024-02-24 00:01:00
215,23,view,172,2024-02-24 00:21:00
216,23,add_to_cart,49,2024-02-24 00:31:00
217,23,view,104,2024-02-17 15:19:00
218,23,view,61,2024-02-17 15:45:00
219,24,add_to_cart,195,2024-02-27 06:37:00
220,24,view,123,2024-02-27 07:02:00
221,24,view,134,2024-02-27 07:12:00
222,24,view,9,2024-01-25 17:09:00
223,24,visit,6,2024-01-25 17:11:00
224,24,visit,73,2024-01-25 17:32:00
225,24,add_to_cart,103,2024-01-25 17:48:00
226,24,checkout,160,2024-01-25 18:16:00
227,24,checkout,41,2024-02-05 03:30:00
228,24,visit,114,2024-02-05 03:35:00
229,24,add_to_cart,8,2024-02-05 04:02:00
230,24,visit,72,2024-02-05 04:16:00
231,24,checkout,178,2024-02-05 04:19:00
232,24,purchase,92,2024-01-15 15:23:00
233,24,view,62,2024-01-15 15:35:00
234,24,view,84,2024-01-15 15:43:00
235,25,view,62,2024-01-24 07:39:00
236,26,visit,111,2024-02-20 04:59:00
237,26,purchase,127,2024-02-20 05:15:00
238,26,view,7,2024-02-23 04:44:00
239,26,visit,84,2024-02-23 05:11:00
240,26,visit,132,2024-02-23 05:16:00
241,26,visit,134,2024-02-23 05:34:00
242,26,visit,58,2024-02-08 18:00:00
243,26,view,22,2024-02-08 18:14:00
244,26,view,154,2024-02-08 18:35:00
245,26,visit,127,2024-02-08 19:01:00
246,27,add_to_cart,3,2024-01-05 03:47:00
247,27,visit,127,2024-01-05 03:52:00
248,27,view,41,2024-01-05 04:02:00
249,27,visit,188,2024-01-05 04:16:00
250,27,view,106,2024-02-09 12:02:00
251,27,visit,14,2024-02-09 12:24:00
252,27,purchase,12,2024-02-03 12:18:00
